Timestamp,Temperature,Light Intensity  
2020-06-06 23:06:25.249406,21.554252199413483,22.266666666666666
2020-06-06 23:06:26.378340,22.72727272727272,22.133333333333333
2020-06-06 23:06:27.357157,23.118279569892465,22.4
2020-06-06 23:06:28.278918,22.336265884652974,22.133333333333333
2020-06-06 23:06:29.138322,21.554252199413483,22.266666666666666
2020-06-06 23:06:29.918808,21.94525904203323,22.266666666666666
2020-06-06 23:06:30.650255,23.118279569892465,22.533333333333335
2020-06-06 23:06:31.399616,21.94525904203323,22.266666666666666
2020-06-06 23:06:32.161330,22.336265884652974,22.133333333333333
2020-06-06 23:06:32.837626,23.118279569892465,22.266666666666666
2020-06-06 23:06:33.392245,23.118279569892465,22.4
2020-06-06 23:25:20.951869,23.50928641251221,22.266666666666666
2020-06-06 23:28:39.650038,22.72727272727272,22.533333333333335
2020-06-06 23:28:50.239859,22.336265884652974,22.4
2020-06-06 23:30:58.981304,23.118279569892465,22.133333333333333
2020-06-06 23:37:56.760549,22.72727272727272,22.4
2020-06-06 23:40:58.440801,23.118279569892465,22.4
2020-06-06 23:43:42.315539,20.381231671554247,22.533333333333335
2020-06-06 23:44:26.068112,23.118279569892465,22.4
2020-06-06 23:45:08.329048,21.94525904203323,22.266666666666666
2020-06-07 23:37:02.214601,23.118279569892465,23.466666666666665
2020-06-07 23:52:51.244030,23.50928641251221,23.333333333333332
2020-06-09 22:13:39.555930,23.50928641251221,23.2
2020-06-09 22:14:39.666341,23.50928641251221,23.066666666666666
2020-06-09 22:19:18.534358,23.50928641251221,22.933333333333334
2020-06-09 22:28:49.922925,23.900293255131956,23.466666666666665
2020-06-09 22:29:44.200207,23.900293255131956,23.2
2020-06-09 22:31:21.797210,23.900293255131956,23.333333333333332
2020-06-09 22:37:46.291646,24.2913000977517,0.0
2020-06-09 22:38:25.913626,24.2913000977517,0.0
2020-06-09 22:38:37.472160,24.2913000977517,23.733333333333334
